Community,Gene
Community 1,RPS27A
Community 1,RPS6
Community 1,RPL5
Community 2,UBC
Community 2,RPL11
Community 2,HDAC1
Community 3,RPS24
Community 3,RPS7
Community 3,SNRPD2
Community 3,EGFR
