source,target,weight,layer
POLR2K,TAF5,0.911,DEG_T2D
POLR2K,SUPT5H,0.998,DEG_T2D
POLR3B,SDAD1,0.728,DEG_T2D
POLR3B,TSR1,0.764,DEG_T2D
POMC,TYR,0.777,DEG_T2D
POMC,UCP2,0.725,DEG_T2D
POMC,SSTR3,0.774,DEG_T2D
POP7,SNRNP40,0.902,DEG_T2D
PPARG,SCARB2,0.862,DEG_T2D
PPARG,TP53,0.949,DEG_T2D
PPARG,UCP2,0.859,DEG_T2D
PPARG,SREBF2,0.94,DEG_T2D
PPARG,SREBF1,0.982,DEG_T2D
PPAT,PRPS1L1,0.966,DEG_T2D
PPID,TP53,0.934,DEG_T2D
PPID,SLC25A4,0.942,DEG_T2D
PPIL2,SNRNP40,0.838,DEG_T2D
PPIL2,RBM48,0.861,DEG_T2D
PPIP5K1,PPIP5K2,0.905,DEG_T2D
PPM1D,TP53,0.883,DEG_T2D
PPP1R9A,RPS6KB2,0.76,DEG_T2D
PPP2R2A,PPP2R5B,0.916,DEG_T2D
PPP2R2A,PPP2R3C,0.78,DEG_T2D
PPP2R2A,PPP2R3A,0.951,DEG_T2D
PPP2R2A,PTPA,0.873,DEG_T2D
PPP2R2A,WWTR1,0.904,DEG_T2D
PPP2R2A,PPP2R2B,0.951,DEG_T2D
PPP2R2A,PPP2R2D,0.995,DEG_T2D
PPP2R2B,PPP2R5B,0.884,DEG_T2D
PPP2R2B,PPP2R3C,0.756,DEG_T2D
PPP2R2B,PPP2R3A,0.875,DEG_T2D
PPP2R2B,PTPA,0.739,DEG_T2D
PPP2R2B,WWTR1,0.901,DEG_T2D
PPP2R2B,PPP2R2D,0.935,DEG_T2D
PPP2R2D,PPP2R5B,0.881,DEG_T2D
PPP2R2D,PPP2R3C,0.779,DEG_T2D
PPP2R2D,PPP2R3A,0.922,DEG_T2D
PPP2R2D,PTPA,0.842,DEG_T2D
PPP2R2D,WWTR1,0.903,DEG_T2D
PPP2R3A,PPP2R5B,0.906,DEG_T2D
PPP2R3A,PTPA,0.919,DEG_T2D
PPP2R5B,PTPA,0.772,DEG_T2D
PRICKLE3,VANGL1,0.99,DEG_T2D
PRKAA1,TP53,0.764,DEG_T2D
PRKAA1,PRKAB1,0.999,DEG_T2D
PRKAR1B,PRKX,0.885,DEG_T2D
PRM2,TNP2,0.983,DEG_T2D
PRPF4B,SNRNP40,0.92,DEG_T2D
PRPF4B,PRPF6,0.973,DEG_T2D
PRPF6,SNRNP40,0.999,DEG_T2D
PRPF6,TSSC4,0.819,DEG_T2D
PRPF6,SMNDC1,0.968,DEG_T2D
PSMA5,PSMD3,0.999,DEG_T2D
PSMA5,UBB,0.948,DEG_T2D
PSMA5,UCHL5,0.997,DEG_T2D
PSMA5,PSMD14,0.999,DEG_T2D
PSMD14,PSMD5,0.999,DEG_T2D
PSMD14,USP5,0.745,DEG_T2D
PSMD14,PSMD3,0.999,DEG_T2D
PSMD14,UBQLN2,0.768,DEG_T2D
PSMD14,UCHL5,0.999,DEG_T2D
PSMD14,UBB,0.99,DEG_T2D
PSMD3,PSMD5,0.999,DEG_T2D
PSMD3,UBB,0.985,DEG_T2D
PSMD3,UCHL5,0.998,DEG_T2D
PSMD5,UCHL5,0.941,DEG_T2D
PTGDS,PTGES2,0.952,DEG_T2D
PTPN1,PTPRF,0.941,DEG_T2D
PUS7L,ZNF37A,0.782,DEG_T2D
RAB2A,RAB6A,0.8,DEG_T2D
RAB33A,RAB33B,0.898,DEG_T2D
RAD1,WRN,0.797,DEG_T2D
RAD1,ZBTB14,0.838,DEG_T2D
RAD1,RFC3,0.901,DEG_T2D
RAD21L1,SMC5,0.7,DEG_T2D
RAD51AP1,XRCC2,0.72,DEG_T2D
RAD51AP1,RFC3,0.726,DEG_T2D
RAD51AP1,ZWINT,0.861,DEG_T2D
RAD51AP1,WDR48,0.995,DEG_T2D
RANBP6,TNPO1,0.765,DEG_T2D
RANBP9,RMND5B,0.794,DEG_T2D
RBBP8,RBL2,0.807,DEG_T2D
RBBP8,XRCC1,0.912,DEG_T2D
RBBP8,WRN,0.873,DEG_T2D
RBBP8,XRCC2,0.74,DEG_T2D
RBBP8,RECQL4,0.777,DEG_T2D
RBL2,TP53,0.76,DEG_T2D
RBL2,RHAG,0.874,DEG_T2D
RBM15B,YTHDF3,0.828,DEG_T2D
RBM48,SNRNP40,0.901,DEG_T2D
RBP1,RBP3,0.802,DEG_T2D
RCOR1,TP53,0.703,DEG_T2D
RCOR1,REST,0.999,DEG_T2D
REST,TP53,0.718,DEG_T2D
RFC3,WRN,0.71,DEG_T2D
RHOT2,TRAK1,0.999,DEG_T2D
RIPK1,TRAF2,0.999,DEG_T2D
RIPK1,VHL,0.915,DEG_T2D
RIPK1,TNFRSF25,0.706,DEG_T2D
RIPK1,TRAF6,0.998,DEG_T2D
RPS6KB2,TPT1,0.793,DEG_T2D
RRP15,WDR12,0.907,DEG_T2D
RRP15,SDAD1,0.882,DEG_T2D
RSF1,SMARCA1,0.968,DEG_T2D
RUNX1T1,TCF12,0.989,DEG_T2D
RUVBL1,TELO2,0.963,DEG_T2D
RUVBL1,SPAG1,0.779,DEG_T2D
RUVBL1,TAF6,0.909,DEG_T2D
RUVBL1,TEX10,0.911,DEG_T2D
RUVBL1,UCHL5,0.986,DEG_T2D
RUVBL1,RUVBL2,0.999,DEG_T2D
RUVBL2,TELO2,0.983,DEG_T2D
RUVBL2,UCHL5,0.984,DEG_T2D
RUVBL2,TEX10,0.911,DEG_T2D
RUVBL2,SPAG1,0.887,DEG_T2D
RUVBL2,TAF6,0.927,DEG_T2D
S100B,TP53,0.995,DEG_T2D
S100B,SOX10,0.716,DEG_T2D
SCARB2,SREBF1,0.72,DEG_T2D
SCN3A,TRPM4,0.733,DEG_T2D
SCN5A,SNTA1,0.963,DEG_T2D
SCN5A,TRPM4,0.949,DEG_T2D
SCN5A,SCNN1A,0.766,DEG_T2D
SCNN1A,TRPM4,0.776,DEG_T2D
SDAD1,WDR12,0.871,DEG_T2D
SDAD1,TSR1,0.93,DEG_T2D
SDAD1,TEX10,0.882,DEG_T2D
SDAD1,ZNF593,0.97,DEG_T2D
SFRP5,WNT7B,0.834,DEG_T2D
SFRP5,WNT1,0.834,DEG_T2D
SFRP5,WNT8B,0.956,DEG_T2D
SFTPB,SFTPC,0.999,DEG_T2D
SGCA,SNTA1,0.967,DEG_T2D
SGCA,TCAP,0.782,DEG_T2D
SGCA,UTRN,0.932,DEG_T2D
SGCA,SGCD,0.999,DEG_T2D
SGCD,SNTA1,0.967,DEG_T2D
SGCD,TCAP,0.81,DEG_T2D
SGCD,UTRN,0.888,DEG_T2D
SLC22A6,SLC22A8,0.798,DEG_T2D
SLC22A8,SLCO4C1,0.727,DEG_T2D
SLC25A4,TP53,0.925,DEG_T2D
SLC45A2,TYR,0.97,DEG_T2D
SMC5,WRN,0.726,DEG_T2D
SMYD2,TP53,0.989,DEG_T2D
SNAPC2,SNAPC5,0.997,DEG_T2D
SNAPC2,SNAPC4,0.999,DEG_T2D
SNAPC2,SNAPC3,0.999,DEG_T2D
SNAPC3,SNAPC4,0.999,DEG_T2D
SNAPC3,SNAPC5,0.999,DEG_T2D
SNAPC4,SNAPC5,0.999,DEG_T2D
SNPH,TRAK1,0.747,DEG_T2D
SNRNP40,YJU2,0.822,DEG_T2D
SNRNP40,WDR25,0.869,DEG_T2D
SNRNP40,TSSC4,0.899,DEG_T2D
SNTA1,UTRN,0.961,DEG_T2D
SNX4,SNX5,0.894,DEG_T2D
SNX4,VAMP2,0.932,DEG_T2D
SNX4,SNX7,0.989,DEG_T2D
SNX5,TBC1D5,0.97,DEG_T2D
SOX10,TYR,0.884,DEG_T2D
SPAG8,TEKT2,0.838,DEG_T2D
SPAST,WASHC5,0.889,DEG_T2D
SPDL1,ZW10,0.854,DEG_T2D
SPOP,TNFAIP1,0.905,DEG_T2D
SREBF1,TP53,0.801,DEG_T2D
SREBF1,UCP2,0.848,DEG_T2D
SREBF1,SREBF2,0.933,DEG_T2D
SREBF2,TP53,0.978,DEG_T2D
SSRP1,TP53,0.766,DEG_T2D
SSRP1,SUPT5H,0.989,DEG_T2D
ST3GAL5,ST8SIA5,0.74,DEG_T2D
STAM,UBQLN2,0.84,DEG_T2D
STAM,UBB,0.974,DEG_T2D
STK25,STRN3,0.998,DEG_T2D
STK25,STRN4,0.998,DEG_T2D
STRN3,STRN4,0.999,DEG_T2D
STX18,ZW10,0.999,DEG_T2D
STX18,STX3,0.868,DEG_T2D
STX3,STXBP2,0.975,DEG_T2D
STX3,VAMP2,0.999,DEG_T2D
STXBP2,VAMP2,0.829,DEG_T2D
SUPT5H,TTF2,0.746,DEG_T2D
SUPV3L1,ZFC3H1,0.9,DEG_T2D
TAF11,TAF6,0.999,DEG_T2D
TAF11,TAF5,0.999,DEG_T2D
TAF1A,TAF1B,0.999,DEG_T2D
TAF5,ZZZ3,0.869,DEG_T2D
TAF5,TAF6,0.999,DEG_T2D
TAF6,TP53,0.854,DEG_T2D
TAF6,ZZZ3,0.834,DEG_T2D
TAF6,TEX10,0.901,DEG_T2D
TBC1D5,WASHC5,0.736,DEG_T2D
TBL1Y,ZFY,0.903,DEG_T2D
TEAD3,WWTR1,0.994,DEG_T2D
TEX10,WDR12,0.829,DEG_T2D
TEX10,ZNF593,0.904,DEG_T2D
TIMM13,TOMM70,0.712,DEG_T2D
TIMM13,TIMM9,0.998,DEG_T2D
TIMM9,TOMM70,0.766,DEG_T2D
TNFRSF10D,TP53,0.769,DEG_T2D
TNFRSF12A,TRAF2,0.905,DEG_T2D
TNFRSF12A,TNFRSF25,0.8,DEG_T2D
TNFRSF25,TOR1B,0.769,DEG_T2D
TNFRSF9,TRAF2,0.927,DEG_T2D
TOM1,UBB,0.915,DEG_T2D
TOP3B,WRN,0.931,DEG_T2D
TP53,VHL,0.784,DEG_T2D
TP53,XRCC1,0.75,DEG_T2D
TP53,USP24,0.709,DEG_T2D
TP53,UBE4B,0.732,DEG_T2D
TP53,UBB,0.799,DEG_T2D
TP53,TXNIP,0.855,DEG_T2D
TP53,TPT1,0.859,DEG_T2D
TP53,TPX2,0.903,DEG_T2D
TP53,TP53AIP1,0.945,DEG_T2D
TP53,TRAF6,0.954,DEG_T2D
TP53,WRN,0.963,DEG_T2D
TP53,TP53BP2,0.999,DEG_T2D
TP53BP2,WWTR1,0.931,DEG_T2D
TPX2,ZWINT,0.913,DEG_T2D
TRAF2,TRAF6,0.995,DEG_T2D
TRAF6,UBB,0.841,DEG_T2D
TRAPPC11,TRAPPC13,0.996,DEG_T2D
TRMT11,WDR12,0.723,DEG_T2D
TRPM4,TRPV6,0.749,DEG_T2D
TSR1,WDR12,0.948,DEG_T2D
UBA5,UBB,0.756,DEG_T2D
UBA5,UFM1,0.999,DEG_T2D
UBB,USP5,0.984,DEG_T2D
UBB,WDR48,0.96,DEG_T2D
UBB,UBQLN2,0.979,DEG_T2D
UBE4B,UBQLN2,0.914,DEG_T2D
UCHL5,USP5,0.837,DEG_T2D
UNC13A,VAMP2,0.779,DEG_T2D
WBP2,WWTR1,0.809,DEG_T2D
WDR25,YJU2,0.878,DEG_T2D
WLS,WNT1,0.94,DEG_T2D
WLS,WNT8B,0.811,DEG_T2D
WLS,WNT7B,0.86,DEG_T2D
WNT7B,WNT8B,0.7,DEG_T2D
WRN,XRCC1,0.792,DEG_T2D
WRN,XRCC2,0.741,DEG_T2D
XRCC1,XRCC2,0.748,DEG_T2D
ZFX,ZFY,0.726,DEG_T2D
ZKSCAN4,ZNF174,0.852,DEG_T2D
ZKSCAN4,ZKSCAN8,0.747,DEG_T2D
ZNF212,ZNF408,0.707,DEG_T2D
ZNF227,ZNF45,0.787,DEG_T2D
ZW10,ZWINT,0.997,DEG_T2D
A2M,CPB2,0.805,DEG_HTN
A2M,SERPINE1,0.804,DEG_HTN
A2M,TTR,0.905,DEG_HTN
A2M,F2,0.7,DEG_HTN
A2M,HSPA5,0.972,DEG_HTN
ABCA2,ABCB6,0.929,DEG_HTN
ABCA4,TULP1,0.812,DEG_HTN
ABCA4,GUCY2D,0.828,DEG_HTN
ABCA4,ELOVL4,0.894,DEG_HTN
ABCA4,CEP290,0.711,DEG_HTN
ABCA4,NR2E3,0.719,DEG_HTN
ABCA4,CDHR1,0.763,DEG_HTN
ABCA4,RPGRIP1,0.782,DEG_HTN
ABCB6,ABCA2,0.929,DEG_HTN
ABCD2,PEX19,0.896,DEG_HTN
ACAA2,ACO2,0.75,DEG_HTN
ACAA2,SDHA,0.753,DEG_HTN
ACAA2,ACSL1,0.788,DEG_HTN
ACAA2,ECI1,0.859,DEG_HTN
ACAA2,DLST,0.867,DEG_HTN
ACAA2,SUCLG2,0.88,DEG_HTN
ACAA2,HSDL2,0.918,DEG_HTN
ACAA2,ECHDC1,0.957,DEG_HTN
ACAA2,ECHS1,0.975,DEG_HTN
ACAA2,ACADVL,0.983,DEG_HTN
ACAA2,HMGCS2,0.996,DEG_HTN
ACADVL,ACAA2,0.983,DEG_HTN
ACADVL,ECI1,0.739,DEG_HTN
ACADVL,ECHS1,0.981,DEG_HTN
ACADVL,ECHDC2,0.752,DEG_HTN
ACADVL,HSDL2,0.787,DEG_HTN
ACADVL,ACSL1,0.841,DEG_HTN
ACIN1,HNRNPU,0.876,DEG_HTN
ACO2,RPL11,0.71,DEG_HTN
ACO2,TIMM44,0.711,DEG_HTN
ACO2,ENO1,0.723,DEG_HTN
ACO2,SUCLG2,0.735,DEG_HTN
ACO2,NDUFA10,0.747,DEG_HTN
ACO2,ACAA2,0.75,DEG_HTN
ACO2,NFU1,0.823,DEG_HTN
ACO2,LYRM4,0.842,DEG_HTN
ACO2,MRPL13,0.869,DEG_HTN
ACO2,MRPS15,0.876,DEG_HTN
ACO2,MRPL40,0.876,DEG_HTN
ACO2,NFS1,0.89,DEG_HTN
ACO2,DLST,0.921,DEG_HTN
ACO2,SDHB,0.94,DEG_HTN
ACO2,FH,0.949,DEG_HTN
ACO2,NDUFS2,0.955,DEG_HTN
ACO2,OGDH,0.957,DEG_HTN
ACO2,SDHA,0.975,DEG_HTN
ACO2,IDH3B,0.996,DEG_HTN
ACSL1,ACAA2,0.788,DEG_HTN
ACSL1,LIPF,0.703,DEG_HTN
ACSL1,ACADVL,0.841,DEG_HTN
ACSM1,HSDL2,0.7,DEG_HTN
ACVR2B,FST,0.862,DEG_HTN
ACVR2B,SMAD2,0.983,DEG_HTN
ACVR2B,LEFTY1,0.921,DEG_HTN
ACVR2B,GDF7,0.953,DEG_HTN
ACVR2B,BMP8A,0.956,DEG_HTN
ACVR2B,BMP8B,0.936,DEG_HTN
ACVR2B,LEFTY2,0.951,DEG_HTN
ACVR2B,GDF5,0.985,DEG_HTN
ACVR2B,BMP2,0.999,DEG_HTN
ADCY10,TFPI,0.708,DEG_HTN
ADCY10,EZR,0.81,DEG_HTN
ADCY10,PDE4A,0.767,DEG_HTN
ADCY10,GALT,0.768,DEG_HTN
ADCY10,NUDT2,0.9,DEG_HTN
ADCY2,PDE11A,0.734,DEG_HTN
ADCY2,PRKCD,0.91,DEG_HTN
ADCY2,GNAL,0.968,DEG_HTN
ADCY2,PRKCA,0.713,DEG_HTN
ADCY2,PDE6B,0.727,DEG_HTN
ADCY2,PDE4A,0.768,DEG_HTN
ADCY2,PRKCB,0.768,DEG_HTN
ADCY2,GNAI3,0.773,DEG_HTN
ADCY2,NUDT2,0.903,DEG_HTN
ADGRG2,GNAL,0.764,DEG_HTN
ADM,RAMP3,0.999,DEG_HTN
ADM,CALCA,0.982,DEG_HTN
ADPGK,GCK,0.982,DEG_HTN
ADPGK,TKT,0.827,DEG_HTN
ADPGK,H6PD,0.839,DEG_HTN
ADPGK,ALDOA,0.917,DEG_HTN
ADPGK,HK1,0.936,DEG_HTN
ADRM1,PSMD8,0.999,DEG_HTN
ADRM1,PSMD7,0.999,DEG_HTN
ADRM1,SGTA,0.862,DEG_HTN
ADRM1,PSMC1,0.999,DEG_HTN
ADRM1,PSMD11,0.999,DEG_HTN
ADRM1,RPS27A,0.998,DEG_HTN
ADRM1,PSMD1,0.999,DEG_HTN
ADRM1,PSMD2,0.999,DEG_HTN
ADRM1,PSMC5,0.998,DEG_HTN
ADRM1,RAD23B,0.817,DEG_HTN
ADRM1,UBC,0.993,DEG_HTN
AFTPH,PICALM,0.729,DEG_HTN
AFTPH,AP3S2,0.903,DEG_HTN
AFTPH,AP4M1,0.905,DEG_HTN
AFTPH,CLTA,0.921,DEG_HTN
AFTPH,CLTC,0.932,DEG_HTN
AGMAT,FH,0.718,DEG_HTN
AGR2,DAG1,0.885,DEG_HTN
AHSP,CYB5R3,0.785,DEG_HTN
AIM2,TRIM11,0.885,DEG_HTN
AIM2,CASP4,0.876,DEG_HTN
AIM2,NLRP1,0.999,DEG_HTN
AIMP1,MARS1,0.999,DEG_HTN
AIMP1,DARS1,0.994,DEG_HTN
AIMP1,KARS1,0.997,DEG_HTN
AIMP1,VARS1,0.731,DEG_HTN
AKR1D1,H6PD,0.731,DEG_HTN
ALDH3A1,GSTM1,0.753,DEG_HTN
ALDOA,GCK,0.868,DEG_HTN
ALDOA,LDHAL6B,0.893,DEG_HTN
ALDOA,PGK2,0.737,DEG_HTN
ALDOA,ADPGK,0.917,DEG_HTN
ALDOA,FBP2,0.97,DEG_HTN
ALDOA,TKT,0.973,DEG_HTN
ALDOA,H6PD,0.905,DEG_HTN
ALDOA,HK1,0.939,DEG_HTN
ALDOA,ENO1,0.988,DEG_HTN
ALDOA,PFKM,0.99,DEG_HTN
ALPL,COL1A1,0.826,DEG_HTN
ALPL,IBSP,0.826,DEG_HTN
ALPL,BMP2,0.757,DEG_HTN
AMPD3,PDE11A,0.706,DEG_HTN
AMPD3,NT5C2,0.806,DEG_HTN
AMPH,SNX1,0.77,DEG_HTN
AMPH,ARHGAP26,0.728,DEG_HTN
AMPH,TRIP10,0.871,DEG_HTN
AMPH,ITSN2,0.908,DEG_HTN
AMPH,BIN2,0.774,DEG_HTN
AMPH,PNMA2,0.896,DEG_HTN
AMPH,GRB2,0.919,DEG_HTN
AMPH,ITSN1,0.929,DEG_HTN
AMPH,CLTC,0.961,DEG_HTN
ANGPT2,PDGFRA,0.864,DEG_HTN
ANGPT2,FLT4,0.98,DEG_HTN
ANGPT2,EGFR,0.859,DEG_HTN
ANGPT2,PECAM1,0.705,DEG_HTN
ANGPT2,IGF1R,0.738,DEG_HTN
ANK1,PLEK,0.812,DEG_HTN
ANK1,CUL3,0.771,DEG_HTN
ANK1,SEPTIN7,0.718,DEG_HTN
ANK1,CUL1,0.742,DEG_HTN
ANK1,TRPV1,0.902,DEG_HTN
ANK1,ITPR1,0.964,DEG_HTN
ANK1,OBSCN,0.993,DEG_HTN
ANXA2,SERPINE1,0.79,DEG_HTN
ANXA2,EGFR,0.958,DEG_HTN
ANXA2,CD151,0.813,DEG_HTN
ANXA2,HSPA5,0.773,DEG_HTN
ANXA2,EZR,0.725,DEG_HTN
ANXA2,CAV3,0.898,DEG_HTN
ANXA2,GRB2,0.707,DEG_HTN
ANXA2,ENO1,0.765,DEG_HTN
ANXA2,ANXA6,0.91,DEG_HTN
ANXA2,CD63,0.985,DEG_HTN
ANXA6,CAV3,0.847,DEG_HTN
ANXA6,ANXA2,0.91,DEG_HTN
ANXA6,PRKCA,0.794,DEG_HTN
AP3B1,CLTC,0.756,DEG_HTN
AP3B1,AP4M1,0.788,DEG_HTN
AP3B1,AP3S2,0.981,DEG_HTN
AP3S2,AFTPH,0.903,DEG_HTN
AP3S2,AP3B1,0.981,DEG_HTN
AP3S2,AP4M1,0.941,DEG_HTN
AP4M1,AFTPH,0.905,DEG_HTN
AP4M1,AP3B1,0.788,DEG_HTN
AP4M1,GSTM1,0.922,DEG_HTN
AP4M1,AP3S2,0.941,DEG_HTN
AP4M1,CD63,0.713,DEG_HTN
APCS,TTR,0.949,DEG_HTN
APCS,RBP4,0.775,DEG_HTN
APMAP,MTIF2,0.784,DEG_HTN
APOBEC3A,ELOC,0.713,DEG_HTN
APOC3,FOXO1,0.72,DEG_HTN
APOC3,TTR,0.771,DEG_HTN
APOC3,F2,0.889,DEG_HTN
AQP2,AQP9,0.714,DEG_HTN
AQP2,UMOD,0.923,DEG_HTN
AQP5,AQP9,0.713,DEG_HTN
AQP9,AQP2,0.714,DEG_HTN
AQP9,AQP5,0.713,DEG_HTN
AQR,SF3B2,0.808,DEG_HTN
AQR,RNF113A,0.841,DEG_HTN
AQR,DHX16,0.89,DEG_HTN
AQR,SNRNP200,0.994,DEG_HTN
AQR,SNRPB2,0.996,DEG_HTN
AQR,SNRPD2,0.996,DEG_HTN
AQR,DHX8,0.998,DEG_HTN
AQR,SNW1,0.998,DEG_HTN
AQR,BUD31,0.998,DEG_HTN
AQR,RBM22,0.999,DEG_HTN
AQR,CDC40,0.999,DEG_HTN
ARF5,RAB11A,0.792,DEG_HTN
ARF5,GBF1,0.828,DEG_HTN
ARHGAP26,AMPH,0.728,DEG_HTN
ARHGDIB,LAPTM5,0.795,DEG_HTN
ARHGDIB,RHOG,0.806,DEG_HTN
ARHGDIB,RAC2,0.992,DEG_HTN
ARHGEF6,RAC2,0.966,DEG_HTN
ARHGEF6,PAK4,0.964,DEG_HTN
ARHGEF6,PXN,0.974,DEG_HTN
ARHGEF6,GIT2,0.998,DEG_HTN
ARHGEF6,GIT1,0.999,DEG_HTN
ARL2,TUBB2B,0.704,DEG_HTN
ARL2,TUBB2A,0.803,DEG_HTN
ARNT,HSP90AA1,0.78,DEG_HTN
ARNT,ELOC,0.885,DEG_HTN
ARPC2,CAPZA1,0.711,DEG_HTN
ARPC2,NCKAP1L,0.771,DEG_HTN
ARPC2,CYFIP2,0.801,DEG_HTN
ARPC2,ENSP00000491073,0.802,DEG_HTN
ARPC2,CAPZB,0.88,DEG_HTN
ARPC2,HCLS1,0.964,DEG_HTN
ARRB1,CCR7,0.859,DEG_HTN
ARRB1,MDM2,0.99,DEG_HTN
ARRB1,IQGAP1,0.716,DEG_HTN
ARRB1,EGFR,0.787,DEG_HTN
ARRB1,CXCR2,0.953,DEG_HTN
ARRB1,MAP3K5,0.912,DEG_HTN
ARRB1,PDE4A,0.952,DEG_HTN
ARRB1,KSR1,0.75,DEG_HTN
ARRB1,PTH1R,0.981,DEG_HTN
ARRB1,ARRB2,0.986,DEG_HTN
ARRB1,IGF1R,0.758,DEG_HTN
ARRB1,CCR3,0.772,DEG_HTN
ARRB1,GPR161,0.942,DEG_HTN
ARRB1,CLTC,0.958,DEG_HTN
ARRB2,CCR7,0.868,DEG_HTN
ARRB2,MDM2,0.987,DEG_HTN
ARRB2,IQGAP1,0.705,DEG_HTN
ARRB2,EGFR,0.785,DEG_HTN
ARRB2,HTR2C,0.735,DEG_HTN
ARRB2,CXCR2,0.89,DEG_HTN
ARRB2,MAP3K5,0.987,DEG_HTN
ARRB2,FGR,0.755,DEG_HTN
ARRB2,PDE4A,0.938,DEG_HTN
ARRB2,KSR1,0.716,DEG_HTN
ARRB2,PTH1R,0.98,DEG_HTN
ARRB2,SUCLG2,0.752,DEG_HTN
ARRB2,CCR3,0.779,DEG_HTN
ARRB2,IGF1R,0.814,DEG_HTN
ARRB2,CLTC,0.933,DEG_HTN
ARRB2,GPR161,0.967,DEG_HTN
ARRB2,ARRB1,0.986,DEG_HTN
ASB1,ELOC,0.85,DEG_HTN
ASB8,ELOC,0.878,DEG_HTN
ASCL1,FOXA2,0.738,DEG_HTN
ASCL1,NES,0.744,DEG_HTN
ASCL1,MYT1L,0.964,DEG_HTN
ASNSD1,FH,0.711,DEG_HTN
ASNSD1,SMIM27,0.781,DEG_HTN
ATAD3A,PHB2,0.789,DEG_HTN
ATF6,HSPA5,0.999,DEG_HTN
ATF6,MBTPS1,0.974,DEG_HTN
ATF6,MAP3K5,0.712,DEG_HTN
ATF6,ATF6B,0.961,DEG_HTN
ATF6B,HSPA5,0.824,DEG_HTN
ATF6B,MBTPS1,0.786,DEG_HTN
ATF6B,CREB5,0.909,DEG_HTN
ATF6B,ATF6,0.961,DEG_HTN
ATP6V0A4,ATP6V1G1,0.996,DEG_HTN
ATP6V0A4,ATP6V0B,0.999,DEG_HTN
ATP6V0A4,ATP6V1H,0.999,DEG_HTN
ATP6V0B,ATP6V0A4,0.999,DEG_HTN
ATP6V0B,ATP6V1H,0.999,DEG_HTN
ATP6V0B,ATP6V1G1,0.998,DEG_HTN
ATP6V1G1,ATP6V0A4,0.996,DEG_HTN
ATP6V1G1,ATP6V1H,0.998,DEG_HTN
ATP6V1G1,ATP6V0B,0.998,DEG_HTN
ATP6V1H,EGFR,0.715,DEG_HTN
ATP6V1H,ATP6V0A4,0.999,DEG_HTN
ATP6V1H,ATP6V1G1,0.998,DEG_HTN
ATP6V1H,ATP6V0B,0.999,DEG_HTN
ATXN2,ITPR1,0.996,DEG_HTN
ATXN2,HNRNPA1,0.782,DEG_HTN
B3GAT1,CCR7,0.722,DEG_HTN
B3GAT1,CD27,0.861,DEG_HTN
B3GAT1,CD8A,0.856,DEG_HTN
BAK1,BID,0.999,DEG_HTN
BAK1,C8A,0.72,DEG_HTN
BBIP1,MCHR1,0.766,DEG_HTN
BBIP1,RAC2,0.76,DEG_HTN
BDKRB1,GPR37L1,0.736,DEG_HTN
BDKRB1,F2,0.909,DEG_HTN
BDNF,PDGFRA,0.86,DEG_HTN
BDNF,FLT4,0.715,DEG_HTN
BDNF,EGFR,0.877,DEG_HTN
BDNF,HAP1,0.826,DEG_HTN
BDNF,RET,0.741,DEG_HTN
BDNF,NES,0.759,DEG_HTN
BDNF,HDAC1,0.726,DEG_HTN
BDNF,GRB2,0.779,DEG_HTN
BDNF,GAP43,0.748,DEG_HTN
BDNF,CPE,0.747,DEG_HTN
BDNF,IGF1R,0.907,DEG_HTN
BDNF,GRIN2B,0.931,DEG_HTN
BICRAL,SMARCE1,0.955,DEG_HTN
BID,TNFRSF1A,0.8,DEG_HTN
BID,NOD2,0.708,DEG_HTN
BID,FAS,0.873,DEG_HTN
BID,BAK1,0.999,DEG_HTN
BIN2,BIN3,0.989,DEG_HTN
BIN2,AMPH,0.774,DEG_HTN
BIN3,BIN2,0.989,DEG_HTN
BLNK,CD22,0.75,DEG_HTN
BLNK,CD72,0.715,DEG_HTN
BLNK,PRKCB,0.734,DEG_HTN
BLNK,PAX5,0.76,DEG_HTN
BLNK,CD19,0.932,DEG_HTN
BLNK,VAV3,0.959,DEG_HTN
BLNK,CD79B,0.961,DEG_HTN
BLNK,LYN,0.999,DEG_HTN
BLNK,GRB2,0.999,DEG_HTN
BLNK,PLCG2,0.999,DEG_HTN
BMP15,FST,0.893,DEG_HTN
BMP2,FSTL3,0.719,DEG_HTN
BMP2,IBSP,0.773,DEG_HTN
BMP2,SOX9,0.816,DEG_HTN
BMP2,FST,0.823,DEG_HTN
BMP2,IHH,0.772,DEG_HTN
BMP2,ACVR2B,0.999,DEG_HTN
BMP2,GDF5,0.896,DEG_HTN
BMP2,ALPL,0.757,DEG_HTN
BMP2,MSX1,0.797,DEG_HTN
BMP8A,BMP8B,0.903,DEG_HTN
BMP8A,ACVR2B,0.956,DEG_HTN
BMP8B,BMP8A,0.903,DEG_HTN
BMP8B,ACVR2B,0.936,DEG_HTN
BMX,PLEK,0.713,DEG_HTN
BMX,STAP1,0.773,DEG_HTN
BORA,BTRC,0.754,DEG_HTN
BPTF,H3-3B,0.998,DEG_HTN
BRD8,SRCAP,0.826,DEG_HTN
BRD8,KAT5,0.998,DEG_HTN
BRIX1,MRM2,0.736,DEG_HTN
BRIX1,UTP3,0.749,DEG_HTN
BRIX1,NAT10,0.855,DEG_HTN
BRIX1,WDR3,0.889,DEG_HTN
BRIX1,RPL15,0.929,DEG_HTN
