source,target,weight,layer
ADRA2C,GNA12,0.912,DEG_T2D
ADRB3,LIPE,0.833,DEG_T2D
ADRB3,CIDEA,0.721,DEG_T2D
ADRB3,UCP2,0.768,DEG_T2D
ADRB3,FGF21,0.769,DEG_T2D
AFF3,CCNT1,0.771,DEG_T2D
AFF3,AFF4,0.835,DEG_T2D
AFF4,CCNT1,0.999,DEG_T2D
AFF4,TTF2,0.722,DEG_T2D
AFF4,ELP4,0.903,DEG_T2D
AFF4,ICE1,0.923,DEG_T2D
AFF4,SUPT5H,0.958,DEG_T2D
AFG3L2,MICU1,0.75,DEG_T2D
AFG3L2,MAIP1,0.774,DEG_T2D
AFG3L2,MRPL16,0.809,DEG_T2D
AFG3L2,MRPL22,0.814,DEG_T2D
AFP,TYR,0.777,DEG_T2D
AFP,CP,0.737,DEG_T2D
AFP,IGFBP1,0.835,DEG_T2D
AFP,KLK3,0.773,DEG_T2D
AFP,GOLM1,0.717,DEG_T2D
AFP,GPT,0.894,DEG_T2D
AGO1,DNMT3A,0.846,DEG_T2D
AGO1,TP53,0.71,DEG_T2D
AGO1,PPID,0.761,DEG_T2D
AGO1,POP7,0.722,DEG_T2D
AGO1,EZH2,0.921,DEG_T2D
AGO1,GEMIN4,0.78,DEG_T2D
AGO1,DCP1A,0.839,DEG_T2D
AGO1,EIF4E,0.983,DEG_T2D
AGO1,AGO4,0.993,DEG_T2D
AGO4,DNMT3A,0.875,DEG_T2D
AGO4,POP7,0.72,DEG_T2D
AGO4,SUPT5H,0.771,DEG_T2D
AGO4,EIF4E,0.852,DEG_T2D
AGPAT2,LMNA,0.742,DEG_T2D
AGPAT2,LPIN1,0.928,DEG_T2D
AGRN,FKTN,0.83,DEG_T2D
AGRN,LRP1,0.75,DEG_T2D
AGRN,FKRP,0.72,DEG_T2D
AGRN,BCAN,0.781,DEG_T2D
AGRN,UTRN,0.862,DEG_T2D
AGRN,PTPRS,0.959,DEG_T2D
AGXT,SPTLC1,0.877,DEG_T2D
AGXT,MAT1A,0.803,DEG_T2D
AGXT,PUDP,0.896,DEG_T2D
AGXT,GNMT,0.933,DEG_T2D
AGXT,GPT,0.957,DEG_T2D
AGXT,HAO2,0.978,DEG_T2D
AHCTF1,NUP107,0.999,DEG_T2D
AHCTF1,NUP133,0.999,DEG_T2D
AHCTF1,NUP205,0.983,DEG_T2D
AHCTF1,NUP93,0.989,DEG_T2D
AHCTF1,POM121,0.903,DEG_T2D
AHCY,GNMT,0.769,DEG_T2D
AHCY,MTHFR,0.822,DEG_T2D
AHCY,MAT1A,0.875,DEG_T2D
AHCY,AHCYL2,0.921,DEG_T2D
AHCY,KYAT3,0.924,DEG_T2D
AHCY,DNMT3A,0.937,DEG_T2D
AHCY,DNMT1,0.952,DEG_T2D
AHCYL2,KYAT3,0.912,DEG_T2D
AHCYL2,DNMT3A,0.913,DEG_T2D
AHCYL2,MAT1A,0.729,DEG_T2D
AHCYL2,DNMT1,0.919,DEG_T2D
AK1,TPK1,0.921,DEG_T2D
AK1,ENTPD2,0.925,DEG_T2D
AKAP1,AKAP9,0.874,DEG_T2D
AKAP1,PRKAR1B,0.722,DEG_T2D
AKAP1,ALDH7A1,0.895,DEG_T2D
AKAP1,RAPGEF3,0.957,DEG_T2D
AKAP8L,RNF43,0.951,DEG_T2D
AKAP9,SNTA1,0.819,DEG_T2D
AKAP9,CEP135,0.717,DEG_T2D
AKAP9,CALML3,0.802,DEG_T2D
AKAP9,SCN5A,0.771,DEG_T2D
AKAP9,KCNJ5,0.769,DEG_T2D
AKAP9,PDE4DIP,0.977,DEG_T2D
AKR1B10,HKDC1,0.898,DEG_T2D
AKR1B10,DHRS9,0.786,DEG_T2D
AKR1B10,DHFR,0.909,DEG_T2D
AKR1B10,ALDH7A1,0.932,DEG_T2D
ALDH1A2,CYP26B1,0.988,DEG_T2D
ALDH1A2,CYP2C9,0.914,DEG_T2D
ALDH1A2,CYP3A4,0.923,DEG_T2D
ALDH1A2,DHRS9,0.93,DEG_T2D
ALDH1A2,AOX1,0.938,DEG_T2D
ALDH1L1,GFAP,0.767,DEG_T2D
ALDH1L1,S100B,0.705,DEG_T2D
ALDH1L1,SLC1A2,0.755,DEG_T2D
ALDH1L1,DHFR,0.945,DEG_T2D
ALDH3B1,AOC2,0.928,DEG_T2D
ALDH3B1,HPGDS,0.71,DEG_T2D
ALDH3B1,GAD2,0.926,DEG_T2D
ALDH3B1,CYP2E1,0.935,DEG_T2D
ALDH4A1,PRODH2,0.983,DEG_T2D
ALDH4A1,ALDH7A1,0.868,DEG_T2D
ALDH4A1,GAD2,0.93,DEG_T2D
ALDH7A1,PDE1B,0.852,DEG_T2D
ALDH7A1,AOC2,0.928,DEG_T2D
ALDH7A1,PDE6A,0.702,DEG_T2D
ALDH7A1,CALML3,0.914,DEG_T2D
ALDH7A1,PDE10A,0.895,DEG_T2D
ALDH7A1,GAD2,0.926,DEG_T2D
ALDH7A1,PCCA,0.852,DEG_T2D
ALDH7A1,ECHDC1,0.866,DEG_T2D
ALDH7A1,RAPGEF3,0.946,DEG_T2D
ALG12,ALG13,0.761,DEG_T2D
ALOX12B,PLA2G3,0.706,DEG_T2D
ALOX12B,CYP2C9,0.906,DEG_T2D
