"","x"
"246","ENSG00000166535"
"247","ENSG00000166716"
"248","ENSG00000166974"
"249","ENSG00000167110"
"250","ENSG00000167257"
"251","ENSG00000167283"
"252","ENSG00000167642"
"253","ENSG00000167657"
"254","ENSG00000167721"
"255","ENSG00000167769"
"256","ENSG00000167778"
"257","ENSG00000167881"
"258","ENSG00000168131"
"259","ENSG00000168175"
"260","ENSG00000168309"
"261","ENSG00000168439"
"262","ENSG00000168811"
"263","ENSG00000169306"
"264","ENSG00000169598"
"265","ENSG00000169604"
"266","ENSG00000169813"
"267","ENSG00000169895"
"268","ENSG00000170345"
"269","ENSG00000171163"
"270","ENSG00000171223"
"271","ENSG00000171446"
"272","ENSG00000171811"
"273","ENSG00000172009"
"274","ENSG00000172404"
"275","ENSG00000172551"
"276","ENSG00000173261"
"277","ENSG00000173349"
"278","ENSG00000173812"
"279","ENSG00000173898"
"280","ENSG00000174243"
"281","ENSG00000174373"
"282","ENSG00000174844"
"283","ENSG00000174996"
"284","ENSG00000175073"
"285","ENSG00000175215"
"286","ENSG00000175467"
"287","ENSG00000175772"
"288","ENSG00000176248"
"289","ENSG00000176624"
"290","ENSG00000176715"
"291","ENSG00000176971"
"292","ENSG00000177034"
"293","ENSG00000177606"
"294","ENSG00000177675"
"295","ENSG00000177822"
"296","ENSG00000177947"
"297","ENSG00000178252"
"298","ENSG00000178457"
"299","ENSG00000179115"
"300","ENSG00000179178"
"301","ENSG00000179388"
"302","ENSG00000181104"
"303","ENSG00000181852"
"304","ENSG00000182902"
"305","ENSG00000183258"
"306","ENSG00000183496"
"307","ENSG00000183963"
"308","ENSG00000184208"
"309","ENSG00000184351"
"310","ENSG00000184428"
"311","ENSG00000184863"
"312","ENSG00000185024"
"313","ENSG00000185523"
"314","ENSG00000185651"
"315","ENSG00000185834"
"316","ENSG00000186187"
"317","ENSG00000186834"
"318","ENSG00000187066"
"319","ENSG00000187068"
"320","ENSG00000187535"
"321","ENSG00000187713"
"322","ENSG00000188175"
"323","ENSG00000188938"
"324","ENSG00000188976"
"325","ENSG00000188986"
"326","ENSG00000189241"
"327","ENSG00000196381"
"328","ENSG00000196535"
"329","ENSG00000196811"
"330","ENSG00000197102"
"331","ENSG00000197114"
"332","ENSG00000197253"
"333","ENSG00000197345"
"334","ENSG00000197646"
"335","ENSG00000197694"
"336","ENSG00000198162"
"337","ENSG00000198171"
"338","ENSG00000198301"
"339","ENSG00000198467"
"340","ENSG00000198546"
"341","ENSG00000198824"
"342","ENSG00000201700"
"343","ENSG00000203837"
"344","ENSG00000204104"
"345","ENSG00000204120"
"346","ENSG00000204560"
"347","ENSG00000204564"
"348","ENSG00000204569"
"349","ENSG00000204843"
"350","ENSG00000205277"
"351","ENSG00000205309"
"352","ENSG00000206914"
"353","ENSG00000213995"
"354","ENSG00000214297"
"355","ENSG00000221930"
"356","ENSG00000224897"
"357","ENSG00000227057"
"358","ENSG00000228095"
"359","ENSG00000228881"
"360","ENSG00000229802"
"361","ENSG00000232289"
"362","ENSG00000232560"
"363","ENSG00000232804"
"364","ENSG00000234857"
"365","ENSG00000236565"
"366","ENSG00000237541"
"367","ENSG00000238269"
"368","ENSG00000244025"
"369","ENSG00000249853"
"370","ENSG00000251992"
"371","ENSG00000254995"
"372","ENSG00000257987"
"373","ENSG00000259384"
"374","ENSG00000259431"
"375","ENSG00000260372"
"376","ENSG00000261069"
"377","ENSG00000261303"
"378","ENSG00000261992"
"379","ENSG00000262587"
"380","ENSG00000263798"
"381","ENSG00000264522"
"382","ENSG00000266302"
"383","ENSG00000266967"
"384","ENSG00000268635"
"385","ENSG00000269743"
"386","ENSG00000273802"
"387","ENSG00000274780"
"388","ENSG00000274962"
"389","ENSG00000275117"
"390","ENSG00000275125"
"391","ENSG00000276480"
"392","ENSG00000276833"
"393","ENSG00000277018"
"394","ENSG00000277494"
"395","ENSG00000279116"
"396","ENSG00000279863"
"397","ENSG00000280689"
"398","ENSG00000281166"
"399","ENSG00000281309"
"400","ENSG00000282438"
"401","ENSG00000282844"
"402","ENSG00000284936"
"403","ENSG00000284979"
"404","ENSG00000285222"
"405","ENSG00000285238"
"406","ENSG00000285314"
"407","ENSG00000285502"
"408","ENSG00000285708"
"409","ENSG00000285959"
"410","ENSG00000286001"
"411","ENSG00000288000"
"412","ENSG00000288293"
"413","ENSG00000288318"
"414","ENSG00000288401"
"415","ENSG00000290767"
"416","ENSG00000291827"
"417","ENSG00000292366"
